doc_id,company,product,report_type,audit_period,auditor,opinion,hq,signing_authority,extraction_method,page_count,score_overall,score_infrastructure,score_app_architecture,score_data_layer,score_security,score_devops,score_bcdr,score_vendor_diversity,cloud_provider,regions,availability_zones,additional_cloud,serverless,cdn,has_vpc,has_waf,has_firewall,has_ids_ips,has_vpn,has_tls,multi_region,topology,arch_pattern,languages,frameworks,compute,branch_protection,databases,caching,backup_frequency,multi_az,per_tenant_segregation,identity_provider,has_mfa,has_rbac,quarterly_reviews,has_vuln_scanning,has_pen_testing,has_server_hardening,has_cyber_insurance,has_bcdr_policy,annual_dr_testing,daily_backups,controls_tested,exceptions,vendor_count,red_flag_count,yellow_flag_count,green_flag_count,system_overview,has_report,has_diagram,cloud,type
1ukEnVIU-nicF1-6eDfBb2mgPLw2xb3P8lfLwPYqGi38,Basata Inc.,Basata,SOC 2 Type 1,"As of August 29, 2025",Accorp Partners (PAC-FIRM-LIC-47383),Unqualified,"709 E. Nighthawk Way, Phoenix, AZ 85048","Kaled Alhanafi, Co-founder and Chief Executive Officer",subagent,0,5.0,5.0,3.0,3.0,6.0,4.0,6.0,5.0,Microsoft Azure (carve-out),"[""Not specified beyond 'Azure'""]",Multi-AZ — 'spinning up multiple servers across all availability zones in Azure',[],[],None mentioned,True,False,True,True,True,True,False,"Client requests → app.basata.ai on Azure VM (db and storage on disk encrypted at rest) → Azure OpenAI and Document Intelligence. Inbound faxes via RingCentral (TriCity Integration), outbound calls/recordings via Twilio, inbound/outbound emails via Mailgun, Voice Transcription via OpenAI. Basata VPN for remote admin access.",Monolith (single Azure VM hosts app + DB + storage),"[""Not disclosed""]","[""Not disclosed""]","[""Azure VM""]",True,"[""Database on Azure VM disk (encrypted at rest)""]",[],Formal backup policy documented; backup procedures defined — frequency not specified,True,True,Azure Active Directory (Active Directory mentioned for server/database accounts; Azure password policy),True,True,True,True,True,True,True,True,True,False,0,0,5,5,7,10,"Basata is a healthcare SaaS company that uses AI to automate administrative workflows for medical practices, including fax/referral intake processing, AI voice agents for call center automation, and patient scheduling. The platform assists clinicians and staff with scheduling, referral management, paperwork automation, and patient communication.",True,True,Azure,Type 1
1v0HzjaGsAF6Uen6W-s5nBbOiIricbU9ScS05h0HNrF8,Freya Inc.,Freya Voice AI,SOC 2 Type 2,"August 7, 2025 - November 7, 2025",Accorp Partners,Unqualified,"1111B S Governors Ave, STE 37396, Dover, DE 19904","Tomas Nepala, President",subagent,0,6.0,7.0,6.0,5.0,8.0,7.0,7.0,5.0,AWS (carve-out),"[""EU and US hosting options mentioned""]",Multi-AZ (production servers hosted in high availability data centers with multiple availability zones),[],"[""AWS App Runner""]",None mentioned,True,False,True,True,True,True,False,Internet traffic -> Route 53 DNS resolver -> Application Load Balancer (public subnet) -> App Runner Service (private subnet) -> Auto Scaling across Multi-AZ; KMS for secrets decryption; Amazon ECR for container images; Security Groups and IAM for access control,Serverless-heavy,[],[],"[""AWS App Runner"", ""Auto Scaling""]",True,"[""Not explicitly named; production database access restricted per RBAC""]",[],Daily (backups taken daily per CC7.4.2 test evidence),True,True,"AWS IAM (Active Directory, server, and database accounts referenced)",True,True,True,True,True,True,True,True,True,True,79,0,4,2,6,13,"Freya is an advanced Voice AI platform that automates inbound and outbound customer calls for regulated industries such as insurance, banking, fintech, and retail. The platform combines natural conversation AI with real-time compliance and security monitoring, enabling organizations to handle thousands of calls efficiently while maintaining full regulatory compliance.",True,False,AWS,Type 2
1vn-Bh2hQ414MSfkC0wieFhk1trVzvezG20bSLW_tDcI,"Kapwork, Inc.",Kapwork,SOC 2 Type 1,"As of August 13, 2025",Accorp Partners,Unqualified,"24085 Summerhill Avenue, Los Altos, CA 94024","Peter Thomas, CTO",subagent,0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,3.0,DigitalOcean (carve-out method),"[""SFO3"", ""NYC1""]",Multi-AZ (multiple availability zones within DigitalOcean),[],[],None mentioned,True,False,True,True,True,True,True,"Internet traffic enters through eva firewall (Inbound: 22 SSH, 80 HTTP, 443 HTTPS). Within VPC default-sfo3: dev-v.kapwork.com (10.124.0.3, kapwork-standard), prod-v.kapwork.com (10.124.0.3, kapwork-standard), email-agent-dev (10.124.0.15, eva), prod-email-agent.kapwork.com (10.124.0.X, eva). Primary PostgreSQL 17 database (d-postgres-db-prod-sfo3) in SFO3. Replication to read-only PostgreSQL 17 replica (db-ro-postgres-d-nyc1) in NYC1 VPC.",Hybrid,[],[],"[""DigitalOcean Droplets (virtual servers)""]",True,"[""PostgreSQL 17 (DigitalOcean Managed Database)""]",[],Formal backup policies and procedures; suitable backups taken and maintained per Backup Policy. Specific frequency not disclosed.,True,True,DigitalOcean password policy / internal authentication system,True,True,True,True,True,True,False,True,True,False,48,0,2,7,12,16,"Kapwork is the AI platform for Receivables Finance. It issues tamper-proof digital certificates for receivables, transforming them into immediately fundable instruments, giving invoice owners direct capital access and giving asset-based lenders, structured finance teams, and invoice factors instant confidence in quality. Kapwork automates the verification of accounts receivable at the point of receipt.",True,False,DigitalOcean,Type 1
1vz6MS1fT0GE7xi5sWEWtAzcrSCNrLFdnOz89XvdDoh8,"Timeglass, Inc.",Timeglass,SOC 2 Type 1,"September 8, 2025",ACCORP Partners,Unqualified,Not disclosed,Not disclosed,subagent,0,5.0,6.0,4.0,5.0,6.0,5.0,6.0,4.0,GCP (carve-out subservice organization),"[""Not explicitly named""]",Multi-AZ,[],[],Not mentioned,True,False,True,True,True,True,False,Internet traffic routed through GCP VPC; application services access Supabase (Postgres) database; administrative access via bastion host; GCP manages underlying physical infrastructure (carve-out),Not explicitly disclosed; cloud-native on GCP,[],[],"[""Compute Engine"", ""GKE (implied by GCP usage)""]",True,"[""Supabase (PostgreSQL)""]",[],Not explicitly stated,True,False,Google Workspace / GCP IAM,True,True,True,True,True,True,False,True,True,True,0,0,3,4,5,8,"Timeglass is an AI-powered time tracking and project management platform for professional services teams. It automates timesheets, provides productivity insights, and manages client billing.",True,True,GCP,Type 1
1wp-1B3BvCmrxWIBFml3pQ6wuL7fciKlKStkWgWRUYFg,"Promptless, Inc.",Promptless (gopromptless.ai),SOC 2 Type 2,"April 18, 2025 - July 18, 2025",Accorp Partners,Unqualified,"577 2nd St, STE 202, San Francisco, CA","Yuchen Liu, Co-Founder (July 25, 2025)",subagent,0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,5.0,AWS (carve-out — AWS controls excluded from scope),"[""us-east-1 (inferred from network diagram)""]",Multi-AZ (daily backups with multi-AZ configured per CC7.4.2),[],[],None mentioned,True,False,True,True,True,True,False,"External triggers (GitHub PRs, Slack DMs, Zendesk tickets) and dashboard users hit AWS API Gateway, which routes to Promptless EKS Cluster. EKS pods write to S3 Document Store and RDS Aurora database. Anthropic provides LLM inference as external subprocessor. Datadog provides logging and monitoring. Clerk handles web-app user authentication.",Microservices (Kubernetes-orchestrated),"[""Not explicitly named""]","[""Not explicitly named""]","[""EKS (Elastic Kubernetes Service)"", ""EC2 (inferred via EKS node groups)""]",True,"[""RDS Aurora (explicitly named in network diagram)""]","[""Not mentioned""]","Daily (CC7.4.2: 'Backups are taken daily, multi-availability zones are configured')",True,True,AWS (for infrastructure accounts) + Clerk (web-app user authentication per network diagram),True,True,True,True,True,True,True,True,True,True,58,0,9,6,6,11,"Promptless is an AI teammate that automatically updates customer-facing documentation. The platform ingests trigger events (GitHub PRs, Slack DMs, Zendesk tickets) and uses AI to keep product docs current across multiple documentation platforms.",True,False,AWS,Type 2
1xO84SQnR7RZC4yebWjoSU_o30mBkLDd6cTX8bTBhHfU,Natural Language Labs Inc.,Visceral (Research Engine - A better way to survey),SOC 2 Type 2,"March 13, 2025 - June 13, 2025",Accorp Partners,Unqualified,"480 Main St. New York, NY 10044","Christian Desrosiers, President",subagent,0,6.0,7.0,6.0,6.0,8.0,6.0,7.0,5.0,AWS (carve-out method — AWS data center controls excluded from scope),"[""Not explicitly named \u2014 multiple AWS availability zones mentioned""]",Multi-AZ (explicitly: 'high availability data centers with multiple availability zones'; DR plan mentions spinning up multiple servers across all availability zones in AWS),[],[],None mentioned,True,False,True,True,True,True,False,"Internet traffic enters through segmented VPCs; multiple VPC clusters (server-cluster, workload-cluster, firewall-cluster, chroma private, main-vpc); bastion host for remote access; IDS/IPS at network boundary; anti-virus on all servers and endpoints","Microservices (multiple named clusters visible in network diagram: server-cluster, workload-cluster, firewall-cluster; separate VPCs for different workloads)","[""Not disclosed""]","[""Not disclosed""]","[""EC2/virtual servers (referenced as 'virtual servers')""]",True,"[""Production database mentioned (access restricted per CC5.2.3, CC6.1.6); specific DB technology not named""]","[""Not disclosed""]","Daily (CC7.4.2: 'Backups are taken daily, multi-availability zones are configured')",True,True,AWS IAM (password policy references AWS; 'cloud provider key management service'),True,True,True,True,True,True,True,True,True,True,57,0,2,3,5,10,"Natural Language Labs Inc. provides Visceral, an AI-automated Market Research platform that allows users to enter a high-level business objective, against which the system launches agentic and human-assisted tools to source new, proprietary, first-party data. The platform integrates AI-assisted surveys, generative R&D tools, media monitoring, and expert support.",True,False,AWS,Type 2
1xqVzn6iYS-T7fz9z9wkQ1tktTCXIOx_FU3qmuFag0VU,Bicameral Corp.,Bicameral,SOC 2 Type 2,"January 30, 2025 - September 30, 2025",Accorp Partners,Unqualified,No physical office (operates from managed working space),"Alex Elder Dulisse, CEO/CTO",subagent,0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,4.0,AWS (carve-out — AWS physical/environmental controls excluded from scope),"[""Not explicitly named; single primary region inferred""]",Multi-AZ (daily backups with multi-AZ configuration confirmed in CC7.4.2),[],"[""Lambda""]",None mentioned,True,False,True,True,True,True,False,"Internet → VPC → AZ → Subnets containing ECR, Lambda, EC2, S3, DynamoDB. Firewalls at application gateway and production network perimeter.",Hybrid (Lambda serverless + EC2),"[""Not disclosed""]","[""Not disclosed""]","[""EC2"", ""Lambda"", ""ECR (container registry)""]",True,"[""DynamoDB""]",[],Daily,True,True,AWS IAM (password policy governed by AWS; unique user IDs and passwords required for production environment and infrastructure),True,True,True,True,True,True,True,True,True,True,57,0,1,3,5,11,Bicameral provides AI-powered financial document automation tools for factoring companies and aging/accounts receivable management. The platform automates punchlist and document workflows for financial services clients.,True,False,AWS,Type 2
1zU3gkfRnm5L1qafQiqBkcdDkIFDoqGZ8ycnE3KmY2mc,"MPL Risk AI, Inc.",MPLRisk.ai,SOC 2 Type 1,"As of December 1, 2025",Accorp Partners,Unqualified,"11726 San Vicente Blvd, Suite 600, Los Angeles, CA 90049","Charles Hernandez, Chief Executive Officer",subagent,0,4.0,5.0,3.0,3.0,7.0,5.0,6.0,3.0,AWS (carve-out),"[""Not specified""]",Multi-AZ (production servers in AWS maintain failover across all availability zones),[],[],Not mentioned,True,True,True,True,True,True,False,User requests -> WAF -> Web Application -> Database; IAM controls access; Logging & Monitoring; External Integrations; all within AWS VPC environment,Monolith (single web application platform at early stage),"[""Not disclosed""]","[""Not disclosed""]","[""AWS EC2/servers (not explicitly named)""]",True,"[""Database (generic - AWS-hosted, not named specifically)""]",[],Backup policy exists; frequency not specified,True,True,AWS (passwords controlled through AWS Password Policy; Active Directory mentioned for infrastructure),True,True,True,True,True,True,False,True,True,False,0,0,2,6,5,10,"MPL Risk AI develops AI-powered compliance automation tools designed to streamline vendor risk management, insurance compliance workflows, and other operational processes. The platform reduces manual review burden through workflow automation and configurable rules engines, serving enterprise teams in regulated and compliance-sensitive industries.",True,False,AWS,Type 1
1_PyyXoxY6B5ghi2FP28o8mZ4Z9xH8ErGB93W822Hhvk,Dime Media Inc.,Unknown,SOC 2 Type 2,"April 23, 2025 - July 23, 2025",Accorp Partners,"Unmodified opinion stating: (a) description fairly presents the system throughout April 23, 2025 - July 23, 2025; (b) controls were suitably designed to provide reasonable assurance throughout the period; (c) controls operated effectively throughout the period",[Company Address],Jae Yoon,vision,81,,,,,,,,,GCP (Google Cloud Platform),[],,[],[],,True,False,False,False,False,False,False,Hosted in GCP in a virtual private cloud (VPC) environment protecting network from unauthorized external access. Network topology includes segmented VPCs and access control lists (ACLs). Remote access through bastion host with virtual private network (VPN).,,[],[],[],False,"[""databases"", ""database"", ""Database"", ""production database""]",[],,False,False,,True,True,False,False,False,False,False,True,True,True,80,0,6,0,0,0,"Dime is an AI-native ERP for accounting and finance teams. References a system designed and implemented throughout the period April 23, 2025 - July 23, 2025, with controls intended to meet applicable trust services criteria Dime is an AI-native ERP for accounting and finance teams. Dime Media Inc. is a technology company that automates core close, reconciliation, and reporting workflows for finance teams. The Dime platform ingests bank and system data, enriches and classifies transactions before",True,True,GCP,Type 2
16IFOoJ1mqdaBawLBfyJLYQEe6FwYMsjad4WFv9YyNgg,"Vibranium Labs, Inc.",Unknown,SOC 2 Type 2,"April 20, 2025 - July 20, 2025",Accorp Partners,"Unqualified opinion: (a) The description fairly presents the system throughout the period April 20, 2025 - July 20, 2025; (b) The controls were suitably designed to provide reasonable assurance that applicable trust services criteria would be met if controls operated effectively throughout the period; (c) The controls operated effectively to provide reasonable assurance that applicable trust services criteria were met throughout the period.","35 Hudson Yards, New York, NY",Charles Kim,vision,81,,,,,,,,,AWS,[],,[],[],,False,False,False,False,False,False,False,Hosted in AWS virtual private cloud (VPC) environment. Network topology includes segmented VPCs and access control lists (ACLs). IDS and IPS via AWS to identify and protect against threats. Remote access done through a bastion host with a virtual private network (VPN). User requests encrypted using Transport Layer Security (TLS) using certificates from an established third-party certificate authority.,,[],[],[],False,"[""databases"", ""database"", ""Amazon RDS PostgreSQL"", ""Redis cache"", ""Pinecone"", ""AWS S3"", ""database accounts"", ""databases (referenced in access control context but no specific technology named)"", ""databases supporting the application"", ""production database""]",[],,False,False,,True,True,False,False,False,False,False,True,True,True,79,0,28,0,0,0,"Vibranium Labs is transforming IT incident response and site reliability with the first Agentic On-Call Engineer, Vibe AI. Vibranium Labs, Inc. builds agentic AI systems that automate incident response and reliability operations for enterprise engineering teams. Its flagship product, Vibe AI, integrates with tools like Slack, Jira, Datadog, and New Relic to act as a real-time incident copilot. The platform consists of three core services: 1) Vibe AI: Agentic AI for Incident Management with real-",True,False,AWS,Type 2
1a_azj4-HdAHRdrQew-weopE5s15A5orzPCPpURSr92Y,Playbook Software Inc,Unknown,SOC 2 Type 2,,Accorp Partners,"Unqualified opinion - In our opinion, in all material respects: (a) The description fairly presents the system that was designed and implemented throughout the period; (b) The controls stated in the description were suitably designed to provide reasonable assurance that the applicable trust services criteria would be met; (c) The controls operated effectively to provide reasonable assurance that the applicable trust services criteria were met throughout the period",,Management of Playbook Software Inc,vision,80,,,,,,,,,GCP (Google Cloud Platform),[],,[],[],,True,False,False,False,False,False,False,"Traffic flow: Internet → API Gateway → Load Balancer (Public subnet) → EC2 instances (Private subnet) → RDS (Private subnet). The primary RDS instance connects to a secondary RDS instance positioned outside/below the private subnet. Shield icons indicate security controls at the API Gateway, Load Balancer, and RDS layers.",,[],[],[],False,"[""databases"", ""tables"", ""real-time database synchronization infrastructure"", ""database"", ""RDS"", ""databases on network and servers supporting the application"", ""database accounts in Active Directory"", ""databases supporting the application"", ""production database""]",[],,False,False,,True,True,False,False,False,False,False,True,True,True,77,0,14,0,0,0,"Rollout's Universal API allows you to build once and connect with every Real Estate CRM, transaction management, mortgage and title system. Rollout's Universal API allows you to build once and connect with every Real Estate CRM, transaction management, mortgage and title system. Rollout is a technology company that provides a Universal API platform for real estate integrations. The company specializes in enabling seamless connectivity between real estate CRMs, transaction management systems, mor",True,False,GCP,Type 2
1VviheFpHhr_xII8c_nUFJp2MdzlLvU2rWu7Nb0-4D4A,Alyf,Alyf,SOC 2 Type 1,"as of May 5, 2025",,"Unqualified opinion - the description fairly presents the system and controls were suitably designed to provide reasonable assurance as of May 5, 2025","23 Corporate Plaza Drive, Suite 150, Newport Beach, CA 92660",,vision,26,,,,,,,,,GCP (Google Cloud Platform),[],,[],[],,True,False,False,False,False,False,False,"VPC environment with Internet connectivity. Two VPC subnets: one containing application components (Cloud Run Services, Virtual Machines, Container Registry, Redis) and one containing CloudSQL Postgres database. Cloud SQL Proxy mediates connections between Virtual Machines and Postgres database. Elastic APM present in VPC. External Firebase Hosting for Web/App Client. Controller connects via Cloud SQL Proxy to database.",,[],[],[],False,"[""databases"", ""database"", ""CloudSQL Postgres"", ""Redis""]",[],,False,False,,False,False,False,False,False,False,False,True,False,False,2,0,7,0,0,0,"Alyf Platform Alyf Platform - description based on DC Section 200 2018 Description Criteria for SOC 2 Reports Alyf, Inc. is a digital health technology company providing an AI-native technology platform designed to help healthcare providers proactively manage chronic diseases through physiologic data and evidence-based clinical insights. Core offerings include: Physiology as a Platform (Data Monitoring), AI-Enabled Clinical Insights, Secure Data Integration and Management, Clinical Decision Supp",True,False,GCP,Type 1
1KVWc-ylLxLHZhahfeTxGaD_f_7mpQzyUvpmwwnLD_ik,Invesst Inc.,Unknown,SOC 2 Type 2,"March 25th, 2025 - June 25th, 2025",Accorp Partners,"Unqualified opinion - In all material respects: (a) description fairly presents the system, (b) controls were suitably designed, and (c) controls operated effectively throughout the period March 25th, 2025 - June 25th, 2025",,,vision,43,,,,,,,,,AWS,[],,[],[],,True,False,False,False,False,False,False,"VPC architecture with Internet Gateway, VPC VPN Connection, VPC VPN Gateways, and IP Sec VPN Tunnel. Three availability zones shown. Connections from Internet through VPN to internal subnets. External connections to Sub Power, IOS, Controller (main), and Controller (Backup) via VPN Gateway.",,[],[],[],False,"[""database"", ""databases"", ""production database""]",[],,False,False,,True,True,False,False,False,False,False,True,False,False,54,0,5,0,0,0,"Invesst is an AI first agentic system built for the modern investor - the world's most advanced investment research platform. Innovating market research with real-time data and personalized insights. Invesst provides compliance automation products and services. Products: Automated Compliance Management Platform (end-to-end compliance automation for SOC 2, HIPAA, ISO 27001, GDPR, PCI DSS, integration capabilities, continuous compliance monitoring, automated evidence collection) and AI-Powered Sec",True,False,AWS,Type 2
1xEoKpHc5eiUFbc2v0nU8aMcG1J6fcVZ7BovM9qz7cTc,Subrik,Unknown,SOC 2 Type 2,"January 15th, 2025 - April 15th, 2025",,"Unqualified opinion: a) Description fairly presents the system throughout period January 15th, 2025 - April 15th, 2025; b) Controls suitably designed to provide reasonable assurance throughout period; c) Controls operated effectively throughout period","US (headquartered in the US, operating across Latin America)",,vision,38,,,,,,,,,AWS,[],,[],[],,False,False,False,False,False,False,False,"AWS infrastructure boundary contains: Django central application connecting to PostgreSQL database and Redis Cache. S3 Storage connected to Django. API REST endpoints (GET, POST, PUT, PATH) served via Django REST framework. Advanced Catalog Search service. HTML5 Admin Panel Dashboard. Metabase Data Analytics. Clients (mobile) connect to Advanced Catalog Search, S3, and API REST. Administrator clients connect to Dashboard and Metabase.",,[],[],[],False,"[""databases"", ""tables"", ""PostgreSQL"", ""Redis Cache""]",[],,False,False,,False,False,False,False,False,False,False,True,True,False,41,0,4,0,0,0,"Subrik Platform Subrik Inc. provides an AI-powered procurement and supply chain automation platform. The platform consists of: 1) Procurement and Supplier Management Automation - end-to-end management of purchase orders, goods receipts, invoicing, payment confirmations; document exchange via EDI, XML, JSON, or manual input; customizable workflows and approval processes. 2) Integration and Monitoring Capabilities - bi-directional integration with ERPs, SFTP/AS2 pipelines, and third-party systems;",True,True,AWS,Type 2
10zFgSt8i10YTbNnL3aBle-AgNNLmLJJo6dKZzHNLtnw,"Sim Studio, Inc",Sim Studio,SOC 2 Type 1,"As of June 10, 2025",Accorp Partners,"Unqualified - In our opinion, in all material respects, based on the description criteria described in Sim Studio, Inc assertion and the applicable trust services criteria: (a) The description fairly presents the system that was designed and implemented as of June 10, 2025; (b) The controls stated in the description were suitably designed to provide reasonable assurance that the applicable trust services criteria would be met if the controls operated effectively as of June 10, 2025","80 Langton St in San Francisco, California",Emir Karabeg,vision,57,,,,,,,,,Vercel,[],,[],[],,True,False,False,False,False,False,False,Virtual private cloud (VPC) environment protecting the network from unauthorized external access. Network topology includes segmented VPCs and access control lists (ACLs). IDS and IPS employed via Vercel to identify and protect against threats. Remote access done through a bastion host with a virtual private network (VPN). User requests encrypted using Transport Layer Security (TLS) using certificates from an established third-party certificate authority.,,[],[],[],False,"[""databases"", ""database"", ""PostgreSQL"", ""database accounts""]",[],,False,False,,True,False,False,False,False,False,False,True,True,False,52,0,10,0,0,0,"Sim Studio is an open source, drag-and-drop AI Agent builder. Sim Studio is an open source, drag-and-drop AI Agent builder This page outlines the description criteria for a SOC 2 system description, including: components of the system (Software - application programs, operating systems, middleware; People - developers, operators, users, vendors; Procedures - automated and manual; Data - transaction streams, files, databases, tables), system boundaries, subservice organization considerations (inc",True,True,Vercel,Type 1
11cug_K8rROnNEwQRGpeUxvka0SWXdMZaX6e2b0B0mgc,nVeris Corporation,nVeris,SOC 2 Type 1,"As of December 15, 2025",Accorp Partners,"Unqualified opinion - the description fairly presents the system that was designed and implemented as of December 15, 2025, and the controls stated in the description were suitably designed to provide reasonable assurance that the applicable trust services criteria would be met if the controls operated effectively as of December 15, 2025","3125 Wheatfield Rd., Finksburg, Maryland 21048",Management of nVeris Corporation,vision,57,,,,,,,,,AWS (Amazon Web Services),[],,[],[],,True,False,False,False,False,False,False,System hosted in AWS VPC environment protecting network from unauthorized external access. Network topology includes segmented VPCs and access control lists (ACLs). Remote access done through bastion host with VPN. User requests encrypted using TLS. IDS and IPS employed via AWS.,,[],[],[],False,"[""databases"", ""database""]",[],,False,False,,True,True,False,False,False,False,False,True,True,False,51,0,7,10,8,10,"The world's leading AI Enterprise Optimization Platform. The world's leading AI Enterprise Optimization Platform The page details system description requirements and components including: Infrastructure (facilities, computers, equipment, mobile devices, telecommunications networks), Software (application programs, operating systems, middleware, utilities), People (developers, operators, entity users, vendor personnel, managers), Procedures (automated and manual), and Data (transaction streams, f",True,True,AWS,Type 1
11F6O6OKQ0B4sRz4ar7bv0NgrtJfmGM1UBPqEj9bfqWw,Knowledge Impact LLC,Knowledge Impact,SOC 2 Type 1,"As of August 29, 2025",Accorp Partners,"In our opinion, in all material respects, based on the description criteria described in Knowledge Impact LLC assertion and the applicable trust services criteria: a. The description fairly presents the system that was designed and implemented as of August 29, 2025.","836 New Hampshire Ave NW, Washington D.C.",,vision,57,,,,,,,,,Supabase,[],,[],[],,True,False,False,False,False,False,False,"The company uses firewalls and intrusion detection tools configured to prevent unauthorized access and detect external security threats. System firewalls are configured on the application gateway and production network to limit unnecessary ports, protocols and services. Encryption technologies protect communication and data transmission over public networks.",,[],[],[],False,"[""database"", ""PostgreSQL (Row Level Security)"", ""Prod"", ""Staging"", ""databases"", ""database accounts""]",[],,False,False,,True,True,False,False,False,False,False,True,True,False,54,0,11,0,0,0,"Knowledge Impact System (KIS) - system for measuring, analyzing, and optimizing the impact of courses, publications, webinars, blogs and events Knowledge Impact System (KIS) - ""We measure, analyze, and optimize the impact of your courses, publications, webinars, blogs and events."" System description prepared as of August 29, 2025 based on DC Section 200 2018 Description Criteria. System components: Infrastructure (physical structures, IT, hardware, facilities, computers, equipment, mobile device",True,False,Supabase,Type 1
147XssLOlGO9haXEvvp-2hzmI0zNh3KZeQJzDsxkL3tU,Scribeberry Ltd,Scribeberry,SOC 2 Type 1,"As of June 27th, 2025",Accorp Partners,"Unqualified - the description fairly presents the system that was designed and implemented as of June 27th, 2025, and the controls stated in the description were suitably designed to provide reasonable assurance that the applicable trust services criteria would be met if the controls operated effectively as of June 27th, 2025",,,vision,42,,,,,,,,,GCP,[],,[],[],,True,False,False,False,False,False,False,"Diagram shows: Internet connectivity via VPC VPN Connection; two regions labeled VPE WEST and VPE EAST with Internet Gateways; three Availability Zones (#1, #2, #3) containing private VPC subnets; compute instances labeled Prod HA, Dev, Test, D con, Prod, and Prod HR; VPC VPN Gateways with IP Sec VPN Tunnel connecting to external systems including Sub Power, IOS, Controller (main), and Controller (Backup).",,[],[],[],False,"[""databases"", ""databases supporting the application""]",[],,False,False,,True,True,False,False,False,False,False,True,True,False,45,0,6,0,0,0,"Independent Service Auditors' Report on Management's Description of a Service Organization's System Relevant to Security and the Suitability of the Design of Controls AI Solutions for Healthcare AI Solutions for Healthcare - Management assertion describing system as of June 27th, 2025 based on DC Section 200 2018 Description Criteria. Uses GCP as subservice organization. Scribeberry Ltd is a technology company headquartered at [Company Address]. The company provides an AI-automated compliance pl",True,False,GCP,Type 1
1aFbao2wx_tIGTS_vgtw5nps4f0srL7TPzxA4Q8eEUl0,TrustBuilder,TrustBuilder Corp,SOC 2 Type 1,"As of July 3, 2025",,The controls stated in the description were suitably designed to provide reasonable assurance that the applicable trust services criteria would be met if the controls operated as described and if user entities applied the complementary user entity,"Delaware, United States",Management of TrustBuilder,vision,41,,,,,,,,,AWS,[],,[],[],,True,False,False,False,False,False,False,Users connect to TrustBuilder frontend service which connects to TrustBuilder backend service. Backend service connects to LLM and AI API call services (bidirectional) and to TrustBuilder encrypted database. Database connects to file storage component and AWS S3. AWS CloudFront positioned above frontend. AWS ECS positioned above backend. AWS RDS positioned above database.,,[],[],[],False,"[""databases"", ""AWS RDS"", ""TrustBuilder encrypted database"", ""databases supporting the application""]",[],,False,False,,True,True,False,False,False,False,False,True,True,False,44,0,10,0,0,0,"TrustBuilder empowers families and financial professionals to securely manage wills, trusts, and wealth transfer strategies. System description requirements and definitions per AICPA standards: a) Infrastructure - physical structures, IT, hardware, facilities, computers, equipment, mobile devices, telecommunications networks; b) Software - application programs, OS, middleware, utilities; c) People - personnel involved in governance, operation, use; d) Procedures - automated and manual; e) Data -",True,False,AWS,Type 1
1ivhcF2LlD8MLHEjZGtwg-gLDzAJTe8LjkkrY3MihgEk,"Polymet AI, Inc.",Polymet,SOC 2 Type 1,As of May 8th,Accorp Partners,"In our opinion, in all material respects, based on the description criteria described in Polymet AI, Inc. assertion and the applicable trust services criteria: a. The description fairly presents the system that was designed and implemented as of May 8th. b. The controls stated in the description were suitably designed to provide reasonable assurance that the applicable trust services criteria would be met if the controls operated effectively as of May 8th...","651 4th Street, San Francisco, CA 94107",Kadir Inip,vision,38,,,,,,,,,Vercel,[],,[],[],,False,False,False,False,False,False,False,"System firewalls are configured on the application gateway and production network to limit unnecessary ports, protocols and services. Firewall rules are reviewed on an annual basis by IT management.",,[],[],[],False,"[""databases"", ""database accounts (generic reference)"", ""Active Directory"", ""server accounts""]",[],,False,False,,True,True,False,False,False,False,False,True,True,False,41,0,9,0,0,0,"Polymet is building an AI Product Designer for product teams in startups and enterprises. Polymet is building an AI Product Designer for product teams in startups and enterprises. Contains definitions of system components: a) Infrastructure (physical structures, IT, hardware, facilities, computers, equipment, mobile devices, telecommunications networks), b) Software (application programs, operating systems, middleware, utilities), c) People (personnel involved in governance, operation, developer",True,True,Vercel,Type 1
